organisation_id,school_name,school_urn
91A7CEFB-1FAE-4B3C-8ABC-00099CFF6A19,Burlington Infant and Nursery School,102565
4B0B415C-8870-45E1-842D-000B44340DF1,Langley Preparatory School At Taverham Hall,121225
BA12B3AD-0E52-4220-9998-000C9E3FE8FA,"Carnforth Christ Church, Church of England, Voluntary Aided Primary School",119522
BFCBCF46-5A16-46C7-9EB9-000F3360C766,Risca Primary School,401317
3D359F10-1391-4704-9965-0010C771A2E2,King's Ford Infant School and Nursery,114717
5ED40841-1BF3-4D61-8EF8-0014374100CF,Laburnum Lower School,109477
B9572380-D145-42BC-B8C1-00156BB8DF57,Corpus Christi Catholic Primary School,108024
61ADBA1A-26BD-472D-A375-00175F5262D2,OUSEDALE SCHOOL,
734DE33F-3636-4A2B-B4D6-001797AD6D93,Blanche Nevile School,102175
37CA7727-5928-4FC4-8761-0017C0148183,Bristol Futures Academy,142569
F2C9C3B4-035D-4618-B5FA-00183A26E1AA,Wolfscastle CP,400679
8489FA32-56C7-49C1-A3C0-001A42824BA6,Field End Infant School,102379
93E6D57F-7ECE-457C-821D-001CB6D9246C,West Kirby St Bridget's CofE Primary School,105062
D173B145-C037-4706-A671-001D603785E2,THE VILLAGES' MULTI-ACADEMY TRUST,
8DF6D8CB-E2CF-46B6-9ECB-001F242B215B,Alfreton Park Community Special School,113040
C4865C0D-EFDE-409E-943F-0020D3A6B3FF,"St Mary Magdalene's Roman Catholic Primary School, Burnley",119489
E99DC8DB-49F5-4672-82E4-0021CF0C7FAF,Medlock Valley Community School,133710
7FE7B046-3016-4339-A6C7-00267187C523,Crown Wood Primary School,144048
C364BC4A-BFCF-49F5-9DC6-002A0D2CA886,St Helen's Catholic Primary School,115147
38E1704B-D587-42F4-88A7-002DC22E4D67,Farley Hill Primary School,109829
4CCDEB31-F0EB-40F2-9793-00303E87BBAD,William Barnes Primary School,113676
C6AAC52E-C0BC-4FE7-8394-003068959302,CODSALL MULTI ACADEMY TRUST,
27DF04D9-4D00-4CAA-B5EC-0039F3CF9F55,Chelmsford Hospital School,142537
2B0B53EC-F8D2-4F0F-88DA-003AF46FBC13,Swell Church of England Primary School,115652
311E0656-8C51-4D11-B546-003C1DD6D894,Christ The King College,135552
A2C3FA32-7EA4-41B2-9FAA-003D1049B214,St Theresa's Catholic Primary School,111388
231143B0-D4D3-459D-B3CE-003D4066FF90,Moor Hall Primary School,103351
5B725DEB-7A39-48F5-89C9-0044CC7F874B,St Matthew's CofE Primary School,122764
971F57F3-48D9-4B16-B89B-00452DDF1DA2,Denmead Junior School,116043
AD67794E-C968-485B-A9E6-0046E5A9A8EB,WHEATLEY AREA LEARNING TRUST,
C94908B2-CB50-4344-8EB6-004A2D330AC8,Binley Woods Primary School,130886
24F1DDA2-DA59-4605-80CC-0053749A9BFF,Ark Chamberlain Primary Academy,138052
57FB4782-BAC7-456A-8C52-005380BECBA7,Bridlington Nursery School,117695
E45FD0A2-B971-46FA-B608-0055B1058119,St Andrew's CofE High School for Boys,126094
24BB28C9-6591-4673-BECF-0055B122C36E,St Edmund's Catholic Primary School,102912
28FF7FDE-EC1A-4CF5-9EFE-0056F2D9C608,BROOK LEARNING TRUST,
59288E28-A849-4B06-B0D1-00574817BC2F,EUROPA SCHOOL UK,
764C4C4C-0A29-447F-8739-0057634409BD,Leading Learners Multi Academy Trust,
79D6ED74-AB7B-47B4-9953-0058D4A39C1E,CARWARDEN HOUSE COMMUNITY SCHOOL,
06292E07-3F29-4730-A68E-005A07979685,Keyworth Primary School,100800
3DCE5733-5E5E-49ED-80A8-005ABC3B5CD0,Ysgol Ty Coch,401922
AF547E08-BA3E-4DEA-807C-005B6FDB2E89,St Albans Independent College,134087
5661E433-F6FE-40E3-B359-005C5DBEAB0D,Ysgol Gymuned Garreglefn,400051
8828832E-9BDC-4F30-9326-00651168B4AB,Marlborough Primary School,102494
D301A927-E4D0-4B24-900A-0067459BEC80,PALLADIAN ACADEMY TRUST,
3684D3E0-E594-4C8C-A4EE-0067D23208EE,New City College,130418
4EF4B902-1169-4537-B941-006BF9090802,DAUNTSEY ACADEMY PRIMARY SCHOOL,
3FF8B918-E4D8-42FC-B52F-00712A692CB8,St James's Hatcham Church of England Primary School,100727
A436D7CD-3395-4084-AE56-007289304FA6,New College Doncaster,144714
8EDCEAE0-5974-41FE-A55E-0072B96CA168,St James' CofE Junior School,112298
D0A02434-74AD-42CB-A706-00732AF563DE,St Margaret Clitherow Catholic Primary School,141156
E3F36D8B-9FBB-4949-A9B6-00737245055C,The Wavell School,116448
D702EFE9-A0F1-4E75-9902-00758B8EE1F3,Concord Junior School,140609
50025ED7-B9B8-4AD6-94AB-0077BCD7B01C,St Peter and St Paul Catholic Primary School,123552
9BF1C71F-4256-4AE6-936A-0078D846D19D,First Base,134617
6347A1AB-CBF3-4B1D-82E9-007BFC8A16CF,"St Matthew's School, Westminster",101138
D486AF41-3429-4D03-94A4-007EDB2B37F0,Thornton Primary School,103268
1BD42259-232F-4211-ACAB-00866E31F792,Ryecroft Academy,140824
9FA0FA85-ABF6-474D-A5E6-0089CF660960,Charlton Park Academy,138547
BAB97420-8319-44D0-875E-008B14345583,Hillview Primary School,115494
ADDAD148-1ED7-494D-8F90-008CA7B8FBE6,Alverstoke Community Infant School,116169
F29B65FC-A53D-4D37-989F-008CAAF82736,Weston St Mary Church of England Primary School,140988
0B341F09-C15E-4236-BADF-008E7A658146,Holy Rosary Catholic Primary School,104940
B560E2C4-A7D5-4F7F-A506-008F1FBA52D4,Ysgol Uwchradd Glan Clwyd,401693
30872552-F7FE-4323-928F-0090891D82EF,Beis Trana Girls' School,131342
2D27B472-6EA9-4C35-948C-0090AD50DA3A,AURUM ACADEMIES TRUST,
48BB5462-F984-4A0A-9EC1-0090E3D1C8CC,Dial Park Primary School,106043
4708DAF2-7DBC-4EA5-A908-0093A9785CF7,Riverside Primary School,144135
A51E1BAA-4BD4-417C-95E2-0093B1C807D6,River View Community Primary School,136076
147C18DF-D056-4BEC-A252-00957A7D70CB,BRADFORD COLLEGE EDUCATION TRUST,
980F15A5-50EB-4D85-9A10-009584D179D4,Calman Colaiste (Kisimul Group),144791
4DEB166E-A844-46EA-BEAA-0097FA72A31E,Llansantffraid C.I.W.A. School,400562
65C6804F-A088-462A-83BD-00984EF704B2,Stoke Newington School and Sixth Form,100279
79A96163-609E-416F-870B-00985C88FE0D,Mill Field Primary School,135162
777E4F0B-9E07-488F-B8EA-00986D5B9C17,Hadlow Primary School,118273
7ECF8087-9FDE-47D9-A326-00992E9B3955,Winterton Church of England Infants' School,118020
F6CB6FDF-FF4B-4B67-B7F8-009B86E7AA73,Colvestone Primary School,100221
A2940539-206A-4524-BB80-009D3FDF623C,LEARNING FOR LIFE TRUST,
9BC85BD6-8B51-49A1-9960-009E43B15EC6,CHAUNCY SCHOOL,
D29901D1-53F7-4AE0-9070-009F16175F7E,Sheepscombe Primary School,115534
67DCC631-028D-4C2C-80B8-009FFCE244B7,Crazies Hill CofE Primary School,109983
9C4FB932-1A41-4449-9C9D-00A02E34B147,St Augustine's CofE Primary School,126009
A80B4248-B256-4343-BA1A-00A045C5ADAB,TLG Newcastle,143049
BCA0ACEF-DEFD-4E23-8ECA-00A8FEB33D27,Thornbury Primary School,143306
5341B84A-6DC7-4F4F-A83A-00AA4F627344,Eversley Primary School,102025
884ACA47-CF71-4981-8B6F-00ABC98B50B6,THE CLAXTON TRUST,
D5E770EF-E8AC-4140-8CA2-00AC99E6BC8C,Walton Hall Academy,140997
7DBBC5CB-EA1E-4692-B86D-00ACB5A1B44F,Sunbury Manor School,136529
B8575E06-D02D-4B87-BFF4-00ADA37E306B,"St John's Church of England Primary School, Abram",141641
EF09FB39-DA95-4C50-8699-00B0AB59CBC0,Stockland Church of England Primary Academy,137454
08B1E582-3BD3-4217-9B21-00B48E22F0A1,Okehampton Primary School and Foundation Unit,145334
4ED019FD-F499-401A-ABBE-00B6027FE1D2,Merton,
20C7CA1B-35B4-464E-B59D-00B87C6F9516,Elmlea Infant School,108991
8D35F247-890F-4911-8A9F-00BB33C6744F,Holy Family Catholic Primary School,122820
04AB16C1-E330-4F88-BB63-00BB7BED463D,Ullesthorpe Church of England Primary School,144114
2366E004-4C27-4E95-9282-00C00D6E083A,Hathern Church of England Primary School,120175
57285220-76A4-4DFA-AC9D-00C371A7B75E,Learn Academies Trust,
A9FFF0E3-1C01-45CF-98CD-00C5E15A2D39,St Bonaventure's Catholic Primary School,109255
3D06A8F7-BF66-4ACC-8332-00C696BBD0ED,SA Test School 4,777004
F8E89B46-17CE-41CC-897E-00C7FA211B28,Silverstone UTC,139690
8108F450-CC5D-425F-852C-00C81A60D3E5,Ysgol Gymraeg Brynsierfel,400807
1670EACA-8533-44A1-832D-00CA8E039D9F,Busbridge CofE Aided Junior School,125186
767F455D-23BC-471D-9579-00CB5FF6A485,Ysgol Gwaun Gynfi,400092
C4160FD5-3020-46B5-A7F4-00D333586BC9,Thornton Primary School,119148
9A7C0D11-6E17-4140-9462-00D37DF12635,The Imam Muhammad Adam Institute  School,137561
0AB2CDE7-E87F-4FCF-BC3E-00D60DE58BAF,NORTHUMBERLAND CHURCH OF ENGLAND ACADEMY TRUST,
636E887A-D81A-483B-9364-00D63E6EE37C,Ysgol Glanwydden,400204
448FEA08-B3F0-47C6-9908-00D6EC7588F1,Aylesford School - Sports College,118882
8F795F77-5E93-4886-B8B2-00D8A98C5A6B,Harmondsworth Primary School,102384
7ED4E77A-32D1-4694-9A14-00D8D8F8CD5C,St Anne's CofE Primary School,106343
8529A43B-5E60-48C7-A591-00DA418B579F,Bramfield Church of England Primary School,143050
4192F78D-B1C5-4C7C-A0A6-00E148A3CE43,The Latymer School,102055
7BBE1FE0-B559-4B60-8D29-00E24CD1C531,ARMTHORPE SHAW WOOD ACADEMY LIMITED,
D4592EDC-4E7B-4C36-A19C-00E3C600DF5C,St Gerards School Trust,401969
F3670053-C1E1-4040-820E-00E6EE01C677,Connell Sixth Form College,139730
B4E28DF9-D082-42D1-A9B9-00E79A5757CA,La Chouette School,137802
41BFFBF9-D7C0-4EE5-93AD-00E81346E328,Newton Primary School,112194
A0A4071A-BBD9-4FA4-A88B-00E85741CEAA,St Martin's CofE Primary School,114539
9B07B98F-C6FE-4BFE-964B-00E8E44D5B49,LUMEN CHRISTI CATHOLIC MULTI ACADEMY COMPANY,
729A0EB1-A2F4-4A52-AAFD-00E9CC8BF104,Lane End Primary School,138893
A7B2EE10-2221-48EF-BD90-00EC3D897E2A,Cambridge International School,135184
C49E5241-EF21-4D04-9B60-00EC8F2484D8,Woodborough Church of England Aided Primary School,126421
663FA988-96EF-4454-816F-00ECA0A2CB32,Barkston Ash Catholic Primary School,121635
9CB9D40E-81BA-41A6-BFF2-00EF375610B8,"St Andrew's Church of England Primary School, Radcliffe",105350
D80AB53B-B100-4784-8B3A-00EF7F2F5057,Sutton Grammar School,136787
6A69B08A-6E09-41E6-8195-00EFF17B61BA,Bryn Awel Primary School,401355
CD45CE9E-AEEB-43B8-BE1A-00F0AAF7AAB6,Wakefield Flanshaw Junior and Infant School,108216
90A1E671-A41D-4246-98FE-00F2A9874011,EAGLESFIELD PADDLE CE PRIMARY ACADEMY,
11115ECE-3C22-449D-B4D7-00F44870D777,Ash Grove Academy,140444
29576A22-9F70-489B-86F8-00F4FD5FC47F,Greenhead Church of England Primary School,122284
687916DA-1CE5-494A-BA3D-00F69C7206F3,Springwell Alternative Academy,141564
9AF6C680-FFEC-444A-A133-00F902604C89,Parkside Academy,137903
0CEFD075-56C0-4EBE-9420-00FCF3600AAB,Bolton School Boys' Division,105271
58D0125A-3FB9-42D0-94A9-00FE55990B9B,Kisimul School,135577
246BAFF8-C764-43A8-B5C0-00FEC6F63EE6,St Alban's Catholic Primary School,105072
578EDE17-FB7A-40E7-9C35-00FF49C323A9,Coleridge Community College,136650
8D64D90F-499C-485F-A7FE-0101B7E95B70,Bolton Primary School,112176
F5CB6D4E-0CDD-47B5-A67F-010229597F94,Woodlands Park Nursery School and Childrens Centre,102073
